approvedSymbol	ID	targetId	maxPhaseChEMBL	geneticScore	UMAP 1	UMAP 2	UMAP 3	cluster
ABL2	R-HSA-1266738,R-HSA-162582,R-HSA-9675108,R-HSA-9013423	ENSG00000143322		0.3039653988058105	14.347609	5.6667366	1.646566	3
HLA-A	R-HSA-1643685,R-HSA-909733,R-HSA-1280218,R-HSA-9824446,R-HSA-597592	ENSG00000206503		0.3039653988058105	12.283682	3.2474992	-1.2062801	3
SMAD2	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-1266738,R-HSA-452723,R-HSA-5688426,R-HSA-2173789,R-HSA-1643685,R-HSA-162582,R-HSA-5689880,R-HSA-9617828,R-HSA-2173796,R-HSA-5663202,R-HSA-9754189,R-HSA-9758941,R-HSA-9006936,R-HSA-597592	ENSG00000175387		0.4559480982087158	14.242864	3.5977862	0.9702066	3
STAT5B	R-HSA-9682385,R-HSA-1643685,R-HSA-162582,R-HSA-1226099,R-HSA-9703465,R-HSA-9703648,R-HSA-186763,R-HSA-5663202,R-HSA-5655302,R-HSA-186797,R-HSA-449147,R-HSA-1839124,R-HSA-8854691,R-HSA-9006934,R-HSA-9705462	ENSG00000173757		0.4559480982087158	10.52303	6.3476057	0.6607704	3
BIRC6	R-HSA-1643685,R-HSA-5663202	ENSG00000115760		0.3039653988058105	6.46179	6.412094	1.7444663	3
IL7	R-HSA-449147	ENSG00000104432		0.0990452577893022	14.441388	9.171435	-4.180733	-1
MSI2	R-HSA-162582	ENSG00000153944		0.4559480982087158	4.9028363	-12.124623	25.58798	1
NOTCH1	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-1266738,R-HSA-9013508,R-HSA-8878159,R-HSA-9012852,R-HSA-9755511,R-HSA-8953897,R-HSA-1643685,R-HSA-9711123,R-HSA-162582,R-HSA-2262752,R-HSA-9759194,R-HSA-5663202,R-HSA-9758941,R-HSA-157118,R-HSA-9013694,R-HSA-350054,R-HSA-2122947,R-HSA-9013695,R-HSA-9793380,R-HSA-9818749	ENSG00000148400		0.4559480982087158	13.109613	5.075182	0.8490643	3
PABPC1	R-HSA-1266738,R-HSA-156827,R-HSA-72613,R-HSA-72737,R-HSA-72766,R-HSA-9675108	ENSG00000070756		0.15198269940290526	13.730578	2.9208121	-0.20496716	3
PIK3CB	R-HSA-5683057,R-HSA-109582,R-HSA-1266738,R-HSA-1483255,R-HSA-1483257,R-HSA-1660499,R-HSA-1257604,R-HSA-1500931,R-HSA-5684996,R-HSA-2219528,R-HSA-9856530,R-HSA-210993,R-HSA-2404192,R-HSA-2428928,R-HSA-2428924,R-HSA-2454202,R-HSA-1430728,R-HSA-5673001,R-HSA-9006925,R-HSA-8953897,R-HSA-112399,R-HSA-1643685,R-HSA-109704,R-HSA-9671555,R-HSA-198203,R-HSA-162582,R-HSA-2172127,R-HSA-2424491,R-HSA-202424,R-HSA-202403,R-HSA-186763,R-HSA-5663202,R-HSA-9855142,R-HSA-9860931,R-HSA-9673770,R-HSA-9673767,R-HSA-199418,R-HSA-186797,R-HSA-449147,R-HSA-1280218,R-HSA-2219530,R-HSA-9006934,R-HSA-6811558,R-HSA-9675108,R-HSA-202733,R-HSA-74752,R-HSA-74751	ENSG00000051382		0.4559480982087158	11.781981	5.722425	0.39920828	3
ACKR3	R-HSA-373076,R-HSA-375276,R-HSA-380108,R-HSA-500792,R-HSA-162582	ENSG00000144476		0.4559480982087158	5.4412827	7.1245885	13.961646	4
CREB3L2	R-HSA-8953897,R-HSA-2262752	ENSG00000182158		0.4559480982087158	10.622722	2.104505	0.14428379	-1
MEN1	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-195721,R-HSA-201681,R-HSA-201722,R-HSA-162582,R-HSA-2173796,R-HSA-3769402,R-HSA-9006936,R-HSA-597592,R-HSA-212165	ENSG00000133895		0.4559480982087158	15.289388	4.5385904	0.38854274	3
PIK3CA	R-HSA-5683057,R-HSA-9006931,R-HSA-109582,R-HSA-1266738,R-HSA-1483255,R-HSA-1483257,R-HSA-1660499,R-HSA-8939211,R-HSA-1257604,R-HSA-1500931,R-HSA-1963642,R-HSA-5684996,R-HSA-2219528,R-HSA-9856530,R-HSA-210993,R-HSA-5654708,R-HSA-9682385,R-HSA-2404192,R-HSA-2428928,R-HSA-2428924,R-HSA-2454202,R-HSA-1430728,R-HSA-5673001,R-HSA-9006925,R-HSA-8953897,R-HSA-177929,R-HSA-190236,R-HSA-112399,R-HSA-1643685,R-HSA-109704,R-HSA-9671555,R-HSA-1236394,R-HSA-198203,R-HSA-162582,R-HSA-2172127,R-HSA-2424491,R-HSA-5654687,R-HSA-202424,R-HSA-1226099,R-HSA-9703465,R-HSA-202403,R-HSA-6806834,R-HSA-9703648,R-HSA-186763,R-HSA-5663202,R-HSA-9855142,R-HSA-9860931,R-HSA-5654696,R-HSA-5654716,R-HSA-5655332,R-HSA-9673770,R-HSA-9673767,R-HSA-5655302,R-HSA-5654741,R-HSA-5654736,R-HSA-9006115,R-HSA-416476,R-HSA-5655253,R-HSA-199418,R-HSA-186797,R-HSA-449147,R-HSA-1280218,R-HSA-180292,R-HSA-2219530,R-HSA-5654738,R-HSA-5654743,R-HSA-1839124,R-HSA-9664565,R-HSA-1227990,R-HSA-9013404,R-HSA-9006934,R-HSA-6811558,R-HSA-9675108,R-HSA-1227986,R-HSA-5655291,R-HSA-202733,R-HSA-74752,R-HSA-74751	ENSG00000121879		0.4559480982087158	10.905218	6.5086193	0.58959436	3
PTEN	R-HSA-73857,R-HSA-212436,R-HSA-3700989,R-HSA-74160,R-HSA-1483255,R-HSA-1483257,R-HSA-1660499,R-HSA-1257604,R-HSA-2219528,R-HSA-5688426,R-HSA-1430728,R-HSA-9006925,R-HSA-1643685,R-HSA-162582,R-HSA-5689880,R-HSA-202424,R-HSA-202403,R-HSA-5663202,R-HSA-199418,R-HSA-5689896,R-HSA-1280218,R-HSA-597592,R-HSA-6807070	ENSG00000171862		0.4559480982087158	13.666677	4.2460713	-0.57084745	3
RAD17	R-HSA-73857,R-HSA-212436,R-HSA-3700989,R-HSA-74160,R-HSA-5633007,R-HSA-1643685,R-HSA-1640170,R-HSA-5685942,R-HSA-69620,R-HSA-5693567,R-HSA-5693538,R-HSA-6804756,R-HSA-5693532,R-HSA-9709570,R-HSA-9701190,R-HSA-9675136,R-HSA-5693579,R-HSA-5693607,R-HSA-5693616	ENSG00000152942		0.15198269940290526	12.330893	1.7313747	1.5709413	3
RPN1	R-HSA-9764265,R-HSA-9764274,R-HSA-421270,R-HSA-418990,R-HSA-9759476,R-HSA-446728,R-HSA-1500931,R-HSA-1643685,R-HSA-72766,R-HSA-446203,R-HSA-9824446,R-HSA-597592	ENSG00000163902		0.3039653988058105	13.133439	3.7696254	2.5067222	3
WIF1	R-HSA-195721,R-HSA-201681,R-HSA-162582	ENSG00000156076		0.3039653988058105	-17.315565	10.733097	-0.7335194	-1
ACSL6	R-HSA-1430728	ENSG00000164398		0.3039653988058105	15.838496	20.877924	7.0320096	0
AMER1	R-HSA-195721,R-HSA-9755511,R-HSA-8953897,R-HSA-1643685,R-HSA-201681,R-HSA-9711123,R-HSA-162582,R-HSA-2262752,R-HSA-5663202,R-HSA-195253,R-HSA-597592	ENSG00000184675		0.4559480982087158	12.429637	5.8633294	0.26660734	3
NFE2L2	R-HSA-9755511,R-HSA-8953897,R-HSA-1643685,R-HSA-9711123,R-HSA-2262752,R-HSA-9759194,R-HSA-9824446,R-HSA-597592,R-HSA-9818749	ENSG00000116044		0.3039653988058105	11.841461	2.8931303	0.2890953	3
PRKCB	R-HSA-73857,R-HSA-109582,R-HSA-212436,R-HSA-74160,R-HSA-195721,R-HSA-1168372,R-HSA-69278,R-HSA-162582,R-HSA-1640170,R-HSA-983705,R-HSA-3858494,R-HSA-1280218,R-HSA-9006934,R-HSA-5218921,R-HSA-76005,R-HSA-8878171	ENSG00000166501		0.3039653988058105	12.88681	3.7810447	0.8896406	3
PTPRC	R-HSA-1266738,R-HSA-202403,R-HSA-6798695,R-HSA-1280218,R-HSA-9675108	ENSG00000081237		0.4559480982087158	11.806988	4.0471196	0.11769295	3
